12-Oct-16 8:12:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:12:46 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:12:46 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:12:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:12:47 AM	 Tag: Test	 Status: High_High	Value 62.9320391049837
12-Oct-16 8:12:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:16:33 AM	 Tag: Test	 Status: High_High	Value 98.7688340595138
12-Oct-16 8:16:34 AM	 Tag: Test	 Status: High_High	Value 97.8147600733806
12-Oct-16 8:16:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:16:35 AM	 Tag: Test	 Status: High_High	Value 96.5925826289068
12-Oct-16 8:17:43 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:17:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:17:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:17:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:17:45 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:17:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:17:46 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:46 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:17:46 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:47 AM	 Tag: Test	 Status: High_High	Value 62.9320391049837
12-Oct-16 8:17:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:17:47 AM	 Tag: Test	 Status: High_High	Value 62.9320391049837
12-Oct-16 8:17:47 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:17:48 AM	 Tag: Test	 Status: High_High	Value 58.7785252292473
12-Oct-16 8:17:48 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:48 AM	 Tag: Test	 Status: High_High	Value 58.7785252292473
12-Oct-16 8:17:48 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:49 AM	 Tag: Test	 Status: High_High	Value 54.4639035015027
12-Oct-16 8:17:49 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:17:49 AM	 Tag: Test	 Status: High_High	Value 54.4639035015027
12-Oct-16 8:17:49 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:17:50 AM	 Tag: Test	 Status: High_High	Value 50
12-Oct-16 8:17:50 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:50 AM	 Tag: Test	 Status: High_High	Value 50
12-Oct-16 8:17:50 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:51 AM	 Tag: Test	 Status: High_High	Value 45.3990499739547
12-Oct-16 8:17:51 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:51 AM	 Tag: Test	 Status: High_High	Value 45.3990499739547
12-Oct-16 8:17:52 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:52 AM	 Tag: Test	 Status: High_High	Value 40.67366430758
12-Oct-16 8:17:52 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:52 AM	 Tag: Test	 Status: High_High	Value 40.67366430758
12-Oct-16 8:17:53 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:53 AM	 Tag: Test	 Status: High_High	Value 35.8367949545301
12-Oct-16 8:17:53 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:17:53 AM	 Tag: Test	 Status: High_High	Value 35.8367949545301
12-Oct-16 8:17:54 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:06 AM	 Tag: Test	 Status: High_High	Value 30.9016994374947
12-Oct-16 8:18:07 AM	 Tag: Test	 Status: High_High	Value 35.83679495453
12-Oct-16 8:18:07 AM	 Tag: Test	 Status: High_High	Value 35.83679495453
12-Oct-16 8:18:08 AM	 Tag: Test	 Status: High_High	Value 40.67366430758
12-Oct-16 8:18:08 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:08 AM	 Tag: Test	 Status: High_High	Value 40.67366430758
12-Oct-16 8:18:08 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:09 AM	 Tag: Test	 Status: High_High	Value 45.3990499739547
12-Oct-16 8:18:09 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:09 AM	 Tag: Test	 Status: High_High	Value 45.3990499739547
12-Oct-16 8:18:10 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:10 AM	 Tag: Test	 Status: High_High	Value 50
12-Oct-16 8:18:10 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:10 AM	 Tag: Test	 Status: High_High	Value 50
12-Oct-16 8:18:11 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:11 AM	 Tag: Test	 Status: High_High	Value 54.4639035015027
12-Oct-16 8:18:11 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:11 AM	 Tag: Test	 Status: High_High	Value 54.4639035015027
12-Oct-16 8:18:12 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:12 AM	 Tag: Test	 Status: High_High	Value 58.7785252292473
12-Oct-16 8:18:12 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:18:12 AM	 Tag: Test	 Status: High_High	Value 58.7785252292473
12-Oct-16 8:18:13 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:13 AM	 Tag: Test	 Status: High_High	Value 62.9320391049838
12-Oct-16 8:18:13 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:14 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:18:14 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:14 AM	 Tag: Test	 Status: High_High	Value 66.9130606358858
12-Oct-16 8:18:14 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:15 AM	 Tag: Test	 Status: High_High	Value 70.7106781186547
12-Oct-16 8:18:15 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:15 AM	 Tag: Test	 Status: High_High	Value 70.7106781186547
12-Oct-16 8:18:15 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:16 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:18:16 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:16 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:18:16 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:18:17 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:17 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:18:17 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:18:18 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:18:18 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:18:19 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:18:19 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:18:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:18:20 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
